ORIGINAL_STATUS,TXN_ID,CREATED_DATE,TXN_REF_QCYM,RECEIVER_WALLET_ADDRESS,RC_MESSAGE,RC,STATUS,AMOUNT,UPDATED_DATE,PURPOSE,TYPE,SENDER_WALLET_ADDRESS
,IDFqD8iVAfR0zf3mLUZ8VfFQ9oEQ3fOfgXT,27-04-2025,,1KQREztfX1aLFSKzXBeEqyAhqecF3GMzG4         ,,,C,3.52,27-04-2025 01:39,ISSUE-U  ,ISSUE-U  ,0xE3Cb04448be3656Da8cC606783F87A950ce70FeF
,IDFmV7A2wjjNKlekzYBIyZxq1QZi4BNhXHk,27-04-2025,,0xE3Cb04448be3656Da8cC606783F87A950ce70FeF ,,,C,40,27-04-2025 01:41,REDEEM-U ,REDEEM-U ,1KQREztfX1aLFSKzXBeEqyAhqecF3GMzG4
,IDFB5LNAs3vJ4xSgTaYfuQrIGziqmI1PhZe,27-04-2025,,ef4e969cf78f40daa1332c6fb9a56194@draxisbank,,,C,1,27-04-2025 09:42,PAY-OFFUS,PAY-OFFUS,1KqRdmkByJ9GcTVsAz2BQPXyjV5iCfuKbP
,AXI0kDaQhAFiRBd4nYIiG9h5cwkAOaPFXDt,27-04-2025,,1KqRdmkByJ9GcTVsAz2BQPXyjV5iCfuKbP         ,,,C,1,27-04-2025 09:51,CREDIT-U ,CREDIT-U ,ef4e969cf78f40daa1332c6fb9a56194@draxisbank
,AXIE2KN1wZJsAfdv815a5x67BoOkianz4cQ,27-04-2025,,1AFVZsztVpRhufvdy3j2AkQteHw7sYTUBL         ,,,C,2000,27-04-2025 11:44,CREDIT-U ,CREDIT-U ,99aa5dd613004634ab506b53de922549@draxisbank
,IDFr902pu8Kcs4jS4bYna7cgtJK15jLlyfh,27-04-2025,,0xE3Cb04448be3656Da8cC606783F87A950ce70FeF ,,,C,104,27-04-2025 11:48,UPI      ,REDEEM-U ,17jCKygnqEYLygWB9nrAuZs3YhqN1iaqb1
,IDFai1amo9wSRw9f2DYTa95T1ckibtoLduf,27-04-2025,,189cpTBxt9gBnvsUGQvKMdUCr9vpRa6i5r         ,,,C,600,27-04-2025 11:49,ISSUE-U  ,ISSUE-U  ,0xE3Cb04448be3656Da8cC606783F87A950ce70FeF
,IDFs3NgkIp77o6qGLGwShpptRI9rZ2nEJJW,27-04-2025,,1JpXbJJ7S1jAGKTy9wQALJrwEzRM2RyBkt         ,,,C,10000,27-04-2025 11:49,ISSUE-U  ,ISSUE-U  ,0xE3Cb04448be3656Da8cC606783F87A950ce70FeF
